OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A,x,y
956835,2670167,A000692373,1513227600000,07:30:00,2017,DICIEMBRE,JUEVES,1513254600000,AC 63-KR 111A 02,ATROPELLO,ENGATIVA,NA,PEATON,NA,NA,FEMENINO,68,PEATON,-74.13350000000003,4.7017999999999915
956837,2670169,A000694542,1512190800000,03:50:00,2017,DICIEMBRE,SABADO,1512204600000,AV AVENIDA BOYACA-KR 22 2,CHOQUE,TUNJUELITO,1,MOTOCICLISTA,N,NA,MASCULINO,35,MOTOCICLISTA,-74.13869999999997,4.570499999999981
956838,2670170,A000693949,1507179600000,12:30:00,2017,OCTUBRE,JUEVES,1507224600000,KR 97F-CL 26 S 2,ATROPELLO,KENNEDY,NA,PEATON,NA,NA,FEMENINO,52,PEATON,-74.170542915,4.650819397000021
956843,2670175,A000693411,1513314000000,01:25:00,2017,DICIEMBRE,VIERNES,1513319100000,AK 45-CL 94 30,CHOQUE,CHAPINERO,1,PASAJERO,NA,NA,MASCULINO,6,PASAJERO,-74.05773055499998,4.6822172870000145
956883,2670213,A000690108,1512536400000,12:30:00,2017,DICIEMBRE,MIERCOLES,1512581400000,CL 11-KR 5 S 02,CHOQUE,SAN CRISTOBAL,1,MOTOCICLISTA,S,1509944400000,MASCULINO,19,MOTOCICLISTA,-74.08527628399997,4.5776340919999825
956887,2670217,A000691765,1513314000000,07:14:00,2017,DICIEMBRE,VIERNES,1513340040000,AV AVENIDA BOYACA-CL 99 2,CHOQUE,SUBA,1,PASAJERO,S,1513400400000,FEMENINO,22,MOTOCICLISTA,-74.081678415,4.699338559000012
956991,2683845,A000758584,1519189200000,19:13:00,2018,FEBRERO,MIERCOLES,1519258380000,AC 26-KR 93 2,ATROPELLO,FONTIBON,NA,PEATON,NA,NA,MASCULINO,29,PEATON,-74.12382508000002,4.683938500000011
957332,2681464,A000757869,1518411600000,08:00:00,2018,FEBRERO,LUNES,1518440400000,KR 14-CL 13A S 2,CHOQUE,ANTONIO NARINO,2,CICLISTA,S,1518584400000,MASCULINO,29,CICLISTA,-74.09590958000001,4.584796170000004
957381,2682361,A000551164,1483506000000,13:50:00,2017,ENERO,MIERCOLES,1483555800000,CL 72-KR 70BIS 02,CHOQUE,ENGATIVA,1,PASAJERO,NA,NA,MASCULINO,77,PASAJERO,-74.091873088,4.684405371000025
957458,2681585,A000755665,1515214800000,17:20:00,2018,ENERO,SABADO,1515277200000,KR 30-CL 26 S 2,ATROPELLO,ANTONIO NARINO,NA,PEATON,S,1515214800000,MASCULINO,84,PEATON,-74.11270949200002,4.5942568510000115
957572,2681694,A000758583,1518498000000,17:20:00,2018,FEBRERO,MARTES,1518560400000,AV AVENIDA CARACAS-CL 31 49,ATROPELLO,TEUSAQUILLO,NA,PEATON,NA,NA,MASCULINO,26,PEATON,-74.07140171700001,4.618488168999988
958104,2684920,A000759625,1519707600000,02:20:00,2018,FEBRERO,MARTES,1519716000000,AV AVENIDA CARACAS-CL 27 S 2,CHOQUE,RAFAEL URIBE URIBE,2,MOTOCICLISTA,N,NA,MASCULINO,27,MOTOCICLISTA,-74.10678127,4.579048960000023
958108,2684924,A000760324,1519707600000,14:45:00,2018,FEBRERO,MARTES,1519760700000,AV AVENIDA CIUDAD DE CALI-CL 13A 21,ATROPELLO,KENNEDY,NA,PEATON,NA,NA,MASCULINO,75,PEATON,-74.14198341000002,4.653898719999972
958184,2684087,A000759197,1519362000000,14:45:00,2018,FEBRERO,VIERNES,1519415100000,KR 17-CL 153 2,CHOQUE,USAQUEN,2,MOTOCICLISTA,S,1519362000000,MASCULINO,28,MOTOCICLISTA,-74.04234787000001,4.736314709999988
958533,2682615,A000757799,1518757200000,17:30:00,2018,FEBRERO,VIERNES,1518820200000,KR 15-CL 80 ES 40,CHOQUE,USME,2,MOTOCICLISTA,N,NA,MASCULINO,22,MOTOCICLISTA,-74.08859999999999,4.508100000000013
958601,2671850,A000694827,1513832400000,13:30:00,2017,DICIEMBRE,JUEVES,1513881000000,KR 14-CL 12 2,ATROPELLO,LOS MARTIRES,NA,PEATON,S,1514005200000,MASCULINO,75,PEATON,-74.0806,4.603000000000009
958620,2671871,A000693890,1514005200000,01:02:00,2017,DICIEMBRE,SABADO,1514008920000,AK 30-CL 64 02,ATROPELLO,BARRIOS UNIDOS,NA,PEATON,S,1514091600000,MASCULINO,23,PEATON,-74.07744669499999,4.659072428999991
958628,2671878,A000695151,1513918800000,21:15:00,2017,DICIEMBRE,VIERNES,1513995300000,KR 68-CL 30 S 15,ATROPELLO,KENNEDY,NA,PEATON,S,1513918800000,MASCULINO,65,PEATON,-74.13033035699999,4.6072614490000205
958982,2685759,A000760074,1519966800000,12:00:00,2018,MARZO,VIERNES,1520010000000,KR 9-CL 153 2,ATROPELLO,USAQUEN,NA,PEATON,S,1519966800000,MASCULINO,89,PEATON,-74.03201781000001,4.731162480000023
959009,2685784,A000759873,1519966800000,11:03:00,2018,MARZO,VIERNES,1520006580000,CL 19-KR 15 2,ATROPELLO,LOS MARTIRES,NA,PEATON,S,1521781200000,MASCULINO,74,PEATON,-74.07715601000001,4.609235379999973
959072,2685843,A000759626,1519966800000,20:05:00,2018,MARZO,VIERNES,1520039100000,AV AVENIDA DE LAS AMERICAS-KR 70 33,ATROPELLO,KENNEDY,NA,PEATON,NA,NA,MASCULINO,19,PEATON,-74.13081661000001,4.630041070000004
959349,2683406,A000761144,1519102800000,07:20:00,2018,FEBRERO,MARTES,1519129200000,AK 96-CL 69A 78,CHOQUE,ENGATIVA,2,CICLISTA,N,NA,MASCULINO,23,CICLISTA,-74.11537406000002,4.697385064999992
959391,2683445,A000759313,1518238800000,12:45:00,2018,FEBRERO,SABADO,1518284700000,CL 61C-KR 30 2,CHOQUE,BARRIOS UNIDOS,1,MOTOCICLISTA,S,1519102800000,MASCULINO,21,MOTOCICLISTA,-74.07830000000001,4.654899999999998
959577,2672787,A000694297,1514264400000,22:00:00,2017,DICIEMBRE,MARTES,1514343600000,CL 17-KR 96C 95,ATROPELLO,FONTIBON,NA,PEATON,S,1514350800000,MASCULINO,67,PEATON,-74.14294142099999,4.66902707700001
959733,2673780,A000602383,1491541200000,03:50:00,2017,ABRIL,VIERNES,1491555000000,AC 80-KR 96 91,CHOQUE,ENGATIVA,2,MOTOCICLISTA,N,NA,MASCULINO,29,MOTOCICLISTA,-74.11037910599998,4.708418492000021
959827,2686554,A000761488,1520312400000,14:34:00,2018,MARZO,MARTES,1520364840000,KR 10-CL 3 S 24,ATROPELLO,SAN CRISTOBAL,NA,PEATON,S,1520312400000,MASCULINO,74,PEATON,-74.08724375999998,4.585884350000015
960146,2684166,A000758784,1519362000000,01:30:00,2018,FEBRERO,VIERNES,1519367400000,CL 70A-KR 14 2,CHOQUE,CHAPINERO,1,MOTOCICLISTA,S,1519621200000,MASCULINO,26,MOTOCICLISTA,-74.06220000000002,4.657199999999989
960304,2684316,A000759444,1519448400000,05:50:00,2018,FEBRERO,SABADO,1519469400000,CL 145-KR 103B 55,ATROPELLO,SUBA,NA,PEATON,S,1519448400000,MASCULINO,74,PEATON,-74.09619084000002,4.746746330000008
960324,2684334,A000759774,1519448400000,23:00:00,2018,FEBRERO,SABADO,1519531200000,CL 80-KR 58 02,ATROPELLO,BARRIOS UNIDOS,NA,PEATON,S,1520398800000,MASCULINO,38,PEATON,-74.07413165999998,4.678529529999992
960412,2684433,A000759969,1519534800000,22:40:00,2018,FEBRERO,DOMINGO,1519616400000,KR 91-CL 93 2,ATROPELLO,ENGATIVA,NA,PEATON,S,1519794000000,SIN INFORMACION,NA,PEATON,-74.09645678999999,4.714386660000002
960580,2673748,A000694281,1514782800000,11:10:00,2018,ENERO,LUNES,1514823000000,KR 63-DG 57C S 02,CHOQUE,BOSA,1,PASAJERO,NA,NA,MASCULINO,30,PASAJERO,-74.1542,4.599100000000021
960619,2673785,A000694601,1514869200000,00:00:00,2018,ENERO,MARTES,1514869200000,AV AVENIDA BOYACA-CL 74BBIS 2,VOLCAMIENTO,USME,1,CICLISTA,N,NA,MASCULINO,54,CICLISTA,-74.12137404600003,4.514611596000009
962299,2686361,A000760535,1520226000000,20:15:00,2018,MARZO,LUNES,1520298900000,CL 45-KR 28 2,ATROPELLO,TEUSAQUILLO,NA,PEATON,S,1520312400000,FEMENINO,68,PEATON,-74.07854199000002,4.634575729999995
964307,2688208,A000760303,1520917200000,06:30:00,2018,MARZO,MARTES,1520940600000,KR 45-CL 116 2,CHOQUE,USAQUEN,2,MOTOCICLISTA,N,NA,MASCULINO,33,MOTOCICLISTA,-74.05471490999997,4.699657460000026
965160,2688989,A000762142,1521090000000,21:55:00,2018,MARZO,JUEVES,1521168900000,KR 30-CL 19 2,ATROPELLO,PUENTE ARANDA,NA,PEATON,S,1521176400000,MASCULINO,18,PEATON,-74.08754323,4.619468270000027
