OBJECTID;CODIGO_ACCIDENTADO;FORMULARIO;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;FECHA_HORA_ACC;DIRECCION;CLASE_ACC;LOCALIDAD;CODIGO_VEHICULO;CONDICION;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;EDAD;CONDICION_A
1289567;2382180;A1428300;1,40393E+12;0:00:00;2014;JUNIO;SABADO;1,40393E+12;DG 64BISBIS-KR17D S 90;ATROPELLO;CIUDAD BOLIVAR;NA;PEATON;NA;NA;MASCULINO;83;PEATON
1289685;2366328;A1424302;1,38389E+12;18:05:00;2013;NOVIEMBRE;VIERNES;1,38395E+12;KR 89C-CL 39 S 02;CHOQUE;KENNEDY;1;MOTOCICLISTA;NA;NA;MASCULINO;21;MOTOCICLISTA
1289730;2366373;A1424299;1,38397E+12;6:00:00;2013;NOVIEMBRE;SABADO;1,38399E+12;AV AVENIDA BOYACA-CL 50 36;ATROPELLO;ENGATIVA;NA;PEATON;NA;NA;MASCULINO;NA;PEATON
1289801;2366444;A1424300;1,38415E+12;22:10:00;2013;NOVIEMBRE;LUNES;1,38423E+12;AK 68-CL 75A 02;ATROPELLO;BARRIOS UNIDOS;NA;PEATON;NA;NA;MASCULINO;51;PEATON
1290165;2382720;A1428425;1,39114E+12;6:15:00;2014;ENERO;VIERNES;1,39117E+12;CL 39-KR6 S 02;CHOQUE;SAN CRISTOBAL;2;MOTOCICLISTA;S;1,39149E+12;MASCULINO;39;MOTOCICLISTA
1290227;2382781;A1428801;1,39123E+12;3:25:00;2014;FEBRERO;SABADO;1,39124E+12;AV AVENIDA CIUDAD DE CALI-CL 85 02;ATROPELLO;ENGATIVA;NA;PEATON;S;1,39123E+12;MASCULINO;62;PEATON
1290230;2382784;A1432837;1,39019E+12;0:50:00;2014;ENERO;LUNES;1,3902E+12;KR 7-CL153A 31;OTRO;USAQUEN;NA;PEATON;NA;NA;MASCULINO;34;PEATON
1290423;2383040;A1428038;1,39123E+12;17:50:00;2014;FEBRERO;SABADO;1,3913E+12;AV AVENIDA BOYACA-CL 64C 02;CAIDA DE OCUPANTE;ENGATIVA;NA;PEATON;S;1,39443E+12;MASCULINO;70;PEATON
1290692;2367337;A1425566;1,38432E+12;11:00:00;2013;NOVIEMBRE;MIERCOLES;1,38436E+12;CL 22-KR69 02;ATROPELLO;FONTIBON;NA;PEATON;S;1,38475E+12;MASCULINO;63;PEATON
1290856;2367501;A1424303;1,38441E+12;8:10:00;2013;NOVIEMBRE;JUEVES;1,38443E+12;AV AVENIDA CENTENARIO-KR 112 95;CHOQUE;FONTIBON;2;CONDUCTOR;S;1,38501E+12;MASCULINO;34;CONDUCTOR
1290868;2367513;A1424303;1,38441E+12;8:10:00;2013;NOVIEMBRE;JUEVES;1,38443E+12;AV AVENIDA CENTENARIO-KR 112 95;CHOQUE;FONTIBON;2;PASAJERO;NA;NA;MASCULINO;58;PASAJERO
1290869;2367514;A1424303;1,38441E+12;8:10:00;2013;NOVIEMBRE;JUEVES;1,38443E+12;AV AVENIDA CENTENARIO-KR 112 95;CHOQUE;FONTIBON;2;PASAJERO;NA;NA;FEMENINO;38;PASAJERO
1290870;2367515;A1424303;1,38441E+12;8:10:00;2013;NOVIEMBRE;JUEVES;1,38443E+12;AV AVENIDA CENTENARIO-KR 112 95;CHOQUE;FONTIBON;2;PASAJERO;NA;NA;FEMENINO;60;PASAJERO
1290871;2367516;A1424303;1,38441E+12;8:10:00;2013;NOVIEMBRE;JUEVES;1,38443E+12;AV AVENIDA CENTENARIO-KR 112 95;CHOQUE;FONTIBON;2;PASAJERO;NA;NA;MASCULINO;64;PASAJERO
1291141;2382770;A1428494;1,39114E+12;7:15:00;2014;ENERO;VIERNES;1,39117E+12;AV AVENIDA DE LAS AMERICAS-KR 72C 02;ATROPELLO;KENNEDY;NA;PEATON;S;1,39132E+12;MASCULINO;NA;PEATON
1291150;2383711;A1428299;1,39158E+12;10:25:00;2014;FEBRERO;MIERCOLES;1,39161E+12;KR 30-CL18 S 26;VOLCAMIENTO;ANTONIO NARINO;1;PASAJERO;NA;NA;FEMENINO;25;MOTOCICLISTA
1291185;2382814;A1427675;1,39123E+12;22:10:00;2014;FEBRERO;SABADO;1,39131E+12;AK 45-CL 170 02;ATROPELLO;USAQUEN;NA;PEATON;NA;NA;MASCULINO;37;PEATON
1291192;2382821;A1428298;1,39123E+12;13:00:00;2014;FEBRERO;SABADO;1,39128E+12;KR 78B-CL 35 S 02;ATROPELLO;KENNEDY;NA;PEATON;NA;NA;MASCULINO;90;PEATON
1291379;2384007;A1429289;1,39175E+12;0:20:00;2014;FEBRERO;VIERNES;1,39175E+12;AV AVENIDA PRIMERO DE MAYO-KR 69C 40;ATROPELLO;KENNEDY;NA;PEATON;S;1,39287E+12;MASCULINO;46;PEATON
1291427;2384054;A1429002;1,39166E+12;8:30:00;2014;FEBRERO;JUEVES;1,39169E+12;AK 10-CL 22 02;ATROPELLO;SANTA FE;NA;PEATON;NA;NA;FEMENINO;19;PEATON
1291511;2384138;A1428947;1,39175E+12;5:40:00;2014;FEBRERO;VIERNES;1,39177E+12;AV AVENIDA BOYACA-CL 71A 57;ATROPELLO;ENGATIVA;NA;PEATON;NA;NA;MASCULINO;23;PEATON
1291534;2384160;A1428946;1,39175E+12;14:30:00;2014;FEBRERO;VIERNES;1,3918E+12;AC 72-KR30 02;VOLCAMIENTO;BARRIOS UNIDOS;1;MOTOCICLISTA;NA;NA;MASCULINO;30;MOTOCICLISTA
1291717;2368374;A1425823;1,38475E+12;15:40:00;2013;NOVIEMBRE;LUNES;1,38481E+12;KR 97-CL132 02;ATROPELLO;SUBA;NA;PEATON;S;1,38492E+12;MASCULINO;49;PEATON
1291724;2368381;A1418574;1,38475E+12;15:35:00;2013;NOVIEMBRE;LUNES;1,38481E+12;AK 9-CL162A 24;ATROPELLO;USAQUEN;NA;PEATON;NA;NA;FEMENINO;46;PEATON
1291948;2368606;A0019822;1,38268E+12;17:39:00;2013;OCTUBRE;VIERNES;1,38274E+12;KR 30-CL16 20;ATROPELLO;LOS MARTIRES;NA;PEATON;S;1,38268E+12;MASCULINO;60;PEATON
1292065;2383699;A1428929;1,39158E+12;20:20:00;2014;FEBRERO;MIERCOLES;1,39165E+12;CL 39A-KR 25 02;CHOQUE;TEUSAQUILLO;NA;PEATON;NA;NA;MASCULINO;56;PEATON
1292565;2385199;A1428931;1,39218E+12;12:05:00;2014;FEBRERO;MIERCOLES;1,39222E+12;CL 51-KR5D S 50;CHOQUE;USME;2;MOTOCICLISTA;NA;NA;MASCULINO;21;MOTOCICLISTA
1292672;2369379;A1418504;1,38501E+12;14:00:00;2013;NOVIEMBRE;JUEVES;1,38506E+12;CL 41B-KR22 S 03;CHOQUE;RAFAEL URIBE URIBE;2;CICLISTA;S;1,3851E+12;MASCULINO;70;CICLISTA
1292684;2369391;A1425589;1,38518E+12;3:42:00;2013;NOVIEMBRE;SABADO;1,3852E+12;AV AVENIDA CIUDAD DE CALI-CL 8A 20;CHOQUE;KENNEDY;2;CONDUCTOR;NA;NA;FEMENINO;17;CONDUCTOR
1292689;2369397;A1418576;1,38518E+12;0:15:00;2013;NOVIEMBRE;SABADO;1,38518E+12;AV AVENIDA BOYACA-CL 39D S 17;ATROPELLO;KENNEDY;NA;PEATON;NA;NA;MASCULINO;23;PEATON
1292733;2369441;A1418887;1,38527E+12;3:30:00;2013;NOVIEMBRE;DOMINGO;1,38528E+12;CL 59-KR78C S 02;ATROPELLO;BOSA;NA;PEATON;S;1,38527E+12;MASCULINO;32;PEATON
1292739;2369447;A1419202;1,38527E+12;22:30:00;2013;NOVIEMBRE;DOMINGO;1,38535E+12;AK 30-CL63 02;ATROPELLO;TEUSAQUILLO;NA;PEATON;NA;NA;MASCULINO;35;PEATON
1292821;2369529;A1419176;1,38518E+12;18:25:00;2013;NOVIEMBRE;SABADO;1,38525E+12;KR 14-CL78 S 15;ATROPELLO;USME;NA;PEATON;S;1,38579E+12;MASCULINO;76;PEATON
1292971;2384614;A1428930;1,39201E+12;18:20:00;2014;FEBRERO;LUNES;1,39207E+12;AV AVENIDA CIUDAD DE VILLAVICENCIO-TR 69 02;CHOQUE;CIUDAD BOLIVAR;1;PASAJERO;NA;NA;FEMENINO;23;MOTOCICLISTA
1293122;2385705;A1429557;1,39227E+12;5:45:00;2014;FEBRERO;JUEVES;1,39229E+12;AK 9-CL110 51;ATROPELLO;USAQUEN;NA;PEATON;NA;NA;FEMENINO;31;PEATON
